TITLE	PATCHED_SIBLING_SERIALS	UNPATCHED_NTSC_SERIALS
PHASE PARADOX [体験版]	SCPS-15005(NTSC-J)	PAPX-90213(NTSC-J); PCPX-96315(NTSC-J); PCPX-96316(NTSC-J)
Power Rangers - Super Legends	SLES-54835(PAL-M5)	SLUS-21679(NTSC-U)
Project Minerva	SLES-52472(PAL-M3)	SLPM-65164(NTSC-J); SLPM-65165(NTSC-J)
R:RACING EVOLUTION	SLUS-20721(NTSC-U)	SCAJ-20048(NTSC-J); SLPM-60216(NTSC-J); SLPS-25300(NTSC-J)
Ratchet & Clank - Size Matters	SCES-55019(PAL-M13)	SCUS-97615(NTSC-U)
Resident Evil - CODE Veronica X	SLES-50306(PAL-M4)	SLUS-20184(NTSC-U)
Rez	SLUS-20344(NTSC-U)	SLPM-62101(NTSC-J); SLPM-74006(NTSC-J)
Rise of the Kasai	SCUS-97416(NTSC-U)	SCUS-97462(NTSC-U)
Rumble Roses	SLPM-65885(NTSC-J); SLUS-20970(NTSC-U)	SLPM-61106(NTSC-J); SLPM-66085(NTSC-J)
Rune - Viking Warlord	SLES-50335(PAL-E); SLES-50339(PAL-S)	SLUS-20109(NTSC-U)
SEGA AGES 2500シリーズ Vol.15 デカスリート・コレクション	SLPM-62444(NTSC-J)	SLPM-62677(NTSC-J)
SEGA RALLY 2006 [体験版]	SLPM-66212(NTSC-J)	SLPM-61137(NTSC-J)
SIREN [体験版]	SCUS-97355(NTSC-U)	PAPX-90511(NTSC-J); PCPX-96636(NTSC-J); SCPS-15053(NTSC-J); SCPS-19305(NTSC-J); SCPS-19312(NTSC-J); SCUS-97398(NTSC-U)
SNK vs. Capcom - SVC Chaos	SLPS-25316(NTSC-J)	SLPS-25484(NTSC-J)
SSX On Tour [Demo]	SLES-53552(PAL-M8)	SLPM-66189(NTSC-J); SLPM-66601(NTSC-J); SLUS-21278(NTSC-U); SLUS-29161(NTSC-U)
Scarface - The World is Yours	SLES-54182(PAL-M4); SLES-54183(PAL-G); SLES-54184(PAL-R); SLES-54271(PAL-E); SLES-54534(PAL-E)	SLUS-21111(NTSC-U); SLUS-21492(NTSC-U)
Shadow of Rome	SLES-52950(PAL-M5); SLUS-20902(NTSC-U)	SLPM-61109(NTSC-J); SLPM-61114(NTSC-J); SLPM-65883(NTSC-J); SLPM-66745(NTSC-J); SLUS-29139(NTSC-U)
Shin Megami Tensei - Digital Devil Saga	SLUS-20974(NTSC-U)	SLUS-28049(NTSC-U)
Shin Megami Tensei - Digital Devil Saga 2	SLUS-21152(NTSC-U)	SLUS-28052(NTSC-U)
Shin Megami Tensei - Persona 3 FES	SLUS-21621(NTSC-U)	SLUS-28068(NTSC-U)
Shinobi	SLUS-20459(NTSC-U)	SLPM-60192(NTSC-J); SLPM-65200(NTSC-J); SLPM-74415(NTSC-J); SLUS-28016(NTSC-U)
Shrek 2	SLES-52379(PAL-E); SLES-52382(PAL-S)	SLUS-20745(NTSC-U)
Sled Storm	SLES-50683(PAL-M3)	SLUS-20363(NTSC-U)
Sly 2 - Band of Thieves	SCES-52529(PAL-M11); SCUS-97316(NTSC-U); SCUS-97415(NTSC-U); SCUS-97457(NTSC-U)	SCUS-97519(NTSC-U)
Sonic Heroes	SLES-51950(PAL-M5)	SLUS-20718(NTSC-U)
Sonic Unleashed	SLES-55380(PAL-M5)	SLUS-21846(NTSC-U)
SoulCalibur III	SCES-53312(PAL-M5)	SLUS-21216(NTSC-U)
Space Chimps	SLES-55340(PAL-M5)	SLUS-21783(NTSC-U)
Spider-Man - Friend or Foe	SLES-54901(PAL-M5)	SLUS-21600(NTSC-U)
Spider-Man 2	SLES-52372(PAL-M5); SLES-52447(PAL-I); SLES-52493(PAL-E)	SLPM-66121(NTSC-J); SLUS-20776(NTSC-U); TCPS-10127(NTSC-J)
Spider-Man 3	SLES-54723(PAL-E); SLES-54724(PAL-M4)	SLUS-21552(NTSC-U); SLUS-21617(NTSC-U)
Splashdown	SLES-50486(PAL-M5)	SLPM-65113(NTSC-J); SLPM-65309(NTSC-J); SLUS-20223(NTSC-U)
Star Wars - Episode III - Revenge of the Sith	SLES-53155(PAL-M3)	SLUS-21143(NTSC-U)
Star Wars - The Force Unleashed	SLES-54659(PAL-M4)	SLUS-21614(NTSC-U)
Stella Deus - The Gate of Eternity	SLUS-21132(NTSC-U)	SLUS-28050(NTSC-U)
Syphon Filter - Dark Mirror	SCES-54794(PAL-M5)	SCUS-97362(NTSC-U); SCUS-97620(NTSC-U)
THE KING OF FIGHTERS 94 RE-BOUT [スペシャル限定版]	SLPS-25448(NTSC-J)	SLPS-25449(NTSC-J)
Teenage Mutant Ninja Turtles 2 - Battle Nexus	SLES-53017(PAL-M5)	SLUS-20981(NTSC-U)
Teenage Mutant Ninja Turtles 3 - Mutant Nightmare	SLES-53850(PAL-M5)	SLUS-21184(NTSC-U)
Tekken 4 [Demo]	SCES-50878(PAL-M5)	SLUS-20328(NTSC-U); SLUS-28012(NTSC-U); SLUS-29034(NTSC-U)
Tekken 5	SCES-53202(PAL-M5); SLUS-21059(NTSC-U)	SLUS-21160(NTSC-U)
The Ant Bully	SLES-54152(PAL-M5)	SLUS-21415(NTSC-U)
The Chronicles of Narnia - Prince Caspian	SLES-55144(PAL-M6); SLES-55145(PAL-F-DU); SLES-55146(PAL-UK)	SLUS-21756(NTSC-U)
The Mark of Kri	SCES-51164(PAL-M5); SCUS-97140(NTSC-U)	SCUS-97201(NTSC-U); SCUS-97222(NTSC-U); SLPM-65310(NTSC-J)
The Punisher	SLES-53049(PAL-I-S); SLUS-20864(NTSC-U)	SLUS-29138(NTSC-U)
The Spiderwick Chronicles	SLES-55109(PAL-E)	SLUS-21716(NTSC-U)
The Suffering [Demo]	SLES-52439(PAL-E-I-S)	SLUS-20636(NTSC-U)
Tom Clancy's Splinter Cell - Chaos Theory	SLES-53287(PAL-M3)	SLUS-21137(NTSC-U)
Tom Clancy's Splinter Cell - Double Agent	SLES-53827(PAL-M3)	SLUS-21356(NTSC-U)
Tomb Raider - Legend	SLES-53908(PAL-M8)	SLUS-21203(NTSC-U)
Twisted Metal - Black	SCUS-97101(NTSC-U)	SCUS-97164(NTSC-U); SCUS-97179(NTSC-U)
VIRTUA COP Re-Birth	SLPM-62205(NTSC-J)	SLPM-62215(NTSC-J)
Virtua Fighter 10th Anniversary	SLPM-68008(NTSC-J)	SLPM-68018(NTSC-J)
Virtua Fighter 4	SCES-50759(PAL-M5); SLUS-20323(NTSC-U)	SLPM-62130(NTSC-J); SLPM-62158(NTSC-J)
X-Men - The Official Game	SLES-54066(PAL-M4)	SLUS-21107(NTSC-U)
X-Men Legends	SLES-52624(PAL-E)	SLUS-20656(NTSC-U)
